candidate_index,state_id,config_id,s2,original_stratum,discovery_class,confirmation_class,widen_ratio_over_base,shrink_ratio_over_base,widen_minus_base_m2,widen_paired_se,widen_support_ratio_abs_delta_over_2se,shrink_minus_base_m2,shrink_paired_se,shrink_support_ratio_abs_delta_over_2se,widen_support,shrink_support,direction_margin,discovery_ambiguity_reason,confirmation_ambiguity_reason,p_ref_full,p_ref_full_se,minimum_arm_ess,hold_proximity_score_diagnostic_only
20,c004_s2_00200,m1d_b20260827_c004,2.0,G-W,WIDEN,WIDEN,-0.12809075688841554,0.3190596296720891,-0.016007871574775862,0.0036020117593037696,2.2220737527339463,0.03987380276732727,0.005763316837706178,3.4592756124784905,True,True,0.5128405164793963,,,0.09350000000000001,0.0003287200056358955,5184.8433723661465,0.3190596296720891
21,c004_s2_00250,m1d_b20260827_c004,2.5,G-H,WIDEN,,-0.09453043214690926,0.17887467206942076,-0.010622069364792475,0.0030876080949149344,1.7201129544721445,0.020099550284220533,0.0038730740308180528,2.5947800279943527,True,True,0.30194841872442596,,,0.09350000000000001,0.0003287200056358955,6568.781607219635,0.17887467206942076
22,c004_s2_00320,m1d_b20260827_c004,3.2,G-H,WIDEN,,-0.07136521721620226,0.13049076608797971,-0.007273939109401138,0.0018648129455834522,1.950313334811527,0.013300343274896893,0.003279290834028021,2.0279298098363245,True,True,0.21736853609884382,,,0.09350000000000001,0.0003287200056358955,7627.8420240529185,0.13049076608797971
23,c004_s2_00400,m1d_b20260827_c004,4.0,G-H,AMBIGUOUS,,-0.08131737198310485,0.032527535827861165,-0.00797043340420225,0.0016099072220733463,2.4754325264586963,0.00318823090068179,0.0025826027504981335,0.6172515111096436,True,False,0.12392191202822268,unsupported_required_contrast,,0.09350000000000001,0.0003287200056358955,8726.616036141491,0.08131737198310485
24,c004_s2_00500,m1d_b20260827_c004,5.0,G-S,AMBIGUOUS,,-0.019094230302489024,0.053805960029883027,-0.0017475449235153512,0.0014850308455179855,0.5883867425345631,0.004924436901383564,0.0017882891816341524,1.3768569848651593,False,True,0.07431925938701824,unsupported_required_contrast,,0.09350000000000001,0.0003287200056358955,9228.27583292397,0.053805960029883027
25,c004_s2_00640,m1d_b20260827_c004,6.4,G-S,AMBIGUOUS,,0.056101617006524496,0.011722635253295088,0.004974280922508732,0.0017594728346744001,1.4135713903844527,0.0010393939428735566,0.001900214012068602,0.273493916020032,True,False,0.011722635253295092,no_unique_preregistered_class,,0.09350000000000001,0.0003287200056358955,9387.545841469479,0.056101617006524496
26,c004_s2_00800,m1d_b20260827_c004,8.0,G-S,SHRINK,SHRINK,0.04830165213036186,-0.03187744437636353,0.004483928338950852,0.002155946381409912,1.0398979254805314,-0.0029592398998430297,0.0014475997886335668,1.0221194846388952,True,True,0.08281915966215293,,,0.09350000000000001,0.0003287200056358955,8941.75949333492,0.04830165213036186
27,c006_s2_00125,m1d_b20260827_c006,1.25,G-W,HOLD,AMBIGUOUS,0.016239987488911645,0.02814936535377499,0.0065736225000129515,0.03466896200931257,0.09480558573180219,0.011394300739271364,0.006349202266583953,0.8973017601943413,False,False,0.016239987488911613,,unsupported_required_contrast,0.09542,0.00035759135748416574,2143.5294562024715,0.02814936535377499
28,c006_s2_00160,m1d_b20260827_c006,1.6,G-W,AMBIGUOUS,,-0.14667933353845664,0.017470063355852883,-0.063029640278873,0.06217950494319338,0.5068361378597039,0.0075070685310948725,0.03113106970976365,0.1205719655810675,False,False,0.19236542995611033,unsupported_required_contrast,,0.09542,0.00035759135748416574,2020.1232868751833,0.14667933353845664
29,c006_s2_00200,m1d_b20260827_c006,2.0,G-W,AMBIGUOUS,,-0.15646397887313956,-0.11150722097071275,-0.06069704233927692,0.030556314521578715,0.9931996592130404,-0.043256975574435905,0.028373959046717318,0.7622654192038184,False,False,0.05329559944858089,unsupported_required_contrast,,0.09542,0.00035759135748416574,2239.126785086488,0.15646397887313956
30,c006_s2_00250,m1d_b20260827_c006,2.5,G-H,AMBIGUOUS,,-0.07829959969232059,0.11248355323471904,-0.031140607409570815,0.02222449466351459,0.7005920242743154,0.04473593971208364,0.030354462873529556,0.736892296504699,False,False,0.206990419949208,unsupported_required_contrast,,0.09542,0.00035759135748416574,2042.1225454516607,0.11248355323471904
