ambiguity_reason,class,config_id,confirmation_ambiguity_reason,confirmation_direction_margin,confirmation_paired_se,confirmation_paired_support,confirmation_r_s,confirmation_r_w,confirmation_status,confirmed_class,d3_class,direction_margin,discovery_class,hold_proximity_score,independent_confirmation_flag,m3d_class,minimum_arm_ess,paired_se,paired_support,r_s,r_w,s2,selected_mode,stage,state_id
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c010,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,AMBIGUOUS,0.050694998180386724,,0.0346652432619049,False,,10787.125995827646,0.0016310333562463478,0.4021429896231504,0.01427240047439704,-0.0346652432619049,4.023786974985393,,D3-BOUNDARY,m1d_b20260827_c010_d3_s2_4p02378697499
,HOLD,m1d_b20260827_c010,,-0.005104122053461212,0.0006019146084346314,0.38817838206314115,0.01996336731069559,-0.005104122053461224,CONFIRMED,HOLD,,0.012811736450210108,HOLD,0.029573930444085628,True,,11835.203266795776,0.0017350065550987622,0.30409986676612477,0.029573930444085628,0.012811736450210054,5.0,S4,D2-DISCOVERY|D2-CONFIRMATION,c010_s2_00500
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c010,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,AMBIGUOUS,0.006922181247830708,,0.031123449382885582,False,,11476.881022611813,0.0012533125061345303,0.21763975617722153,0.031123449382885582,0.006922181247830617,5.059644256269406,,D3-BOUNDARY,m1d_b20260827_c010_d3_s2_5p05964425627
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c010,,,,,,,NOT_APPLICABLE_D3_DISCOVERY,,AMBIGUOUS,0.050970709343641125,,0.024966203566019196,False,,11652.91084236324,0.0015537663264589218,0.6465296654475707,-0.024966203566019196,0.024731960672244035,6.362165830136404,,D3-BOUNDARY,m1d_b20260827_c010_d3_s2_6p36216583014
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c010,,,,,,,NOT_SELECTED,,,-0.0014719685494383457,AMBIGUOUS,0.032949638415909366,False,,11230.911137235647,0.0014223959816348976,0.04635126037398672,-0.0014719685494383183,0.032949638415909366,6.4,S4,D2-DISCOVERY,c010_s2_00640
,SHRINK,m1d_b20260827_c010,,0.06349845077758821,0.0008062839305507942,1.6689370954793588,-0.024716284429937563,0.03721272057737135,CONFIRMED,SHRINK,,0.06506482356145134,SHRINK,0.03461905075649896,True,,11118.905657297248,0.001401369611499959,1.0226829032311182,-0.028585840158672604,0.03461905075649896,8.0,S4,D2-DISCOVERY|D2-CONFIRMATION,c010_s2_00800
,WIDEN,m1d_b20260827_c017,,,,,,,NOT_SELECTED,,,0.06560224308659851,WIDEN,0.042448902054591175,False,,5935.4880410535925,0.0019126259735982331,1.1951324710897182,0.020368597840662694,-0.042448902054591175,1.25,S3,D2-DISCOVERY,c017_s2_00125
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c017,,,,,,,NOT_SELECTED,,,0.5407652804292846,AMBIGUOUS,0.21888909598587558,False,,4063.639825887128,0.027376960896102226,0.5297686295955449,0.21888909598587558,-0.20890669625793268,1.6,S3,D2-DISCOVERY,c017_s2_00160
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c017,,,,,,,NOT_SELECTED,,,0.228780811345427,AMBIGUOUS,0.15420063174303456,False,,5914.150135758545,0.00824557414695666,0.2606134754602608,0.03930203396224363,-0.15420063174303456,2.0,S3,D2-DISCOVERY,c017_s2_00200
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c017,,,,,,,NOT_SELECTED,,,0.052534296550447154,AMBIGUOUS,0.15244399724893354,False,,7121.8422590875925,0.005146490808146097,0.46346551461668906,0.15244399724893354,0.05253429655044717,2.5,S3,D2-DISCOVERY,c017_s2_00250
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c017,,,,,,,NOT_SELECTED,,,0.20694874245600323,AMBIGUOUS,0.096698404580005,False,,7064.003847364863,0.004969012289004102,0.8269899770815025,0.096698404580005,-0.09134632979661705,3.2,S3,D2-DISCOVERY,c017_s2_00320
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c017,,,,,,,NOT_SELECTED,,,0.20858955303696927,AMBIGUOUS,0.16748798623171535,False,,7605.424819820296,0.0033143284039430193,0.3769281517153877,0.16748798623171535,-0.03400787860690435,4.0,S3,D2-DISCOVERY,c017_s2_00400
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c017,,,,,,,NOT_SELECTED,,,-0.003576556451260047,AMBIGUOUS,0.06755651997761625,False,,8065.164278447123,0.002983262114042614,0.05499713561792371,0.06755651997761625,-0.0035765564512600934,5.0,S3,D2-DISCOVERY,c017_s2_00500
no_unique_preregistered_class,AMBIGUOUS,m1d_b20260827_c017,,,,,,,NOT_SELECTED,,,0.02517442623491084,AMBIGUOUS,0.10660029678359595,False,,8084.266980451134,0.0026206241477539625,0.3654022211653488,0.02517442623491073,0.10660029678359595,6.4,S3,D2-DISCOVERY,c017_s2_00640
unsupported_required_contrast,AMBIGUOUS,m1d_b20260827_c017,,,,,,,NOT_SELECTED,,,0.0758603499411977,AMBIGUOUS,0.04499165355389567,False,,7909.980494838626,0.0028012253635307945,0.5555457908296502,-0.04499165355389567,0.027455613804270307,8.0,S3,D2-DISCOVERY,c017_s2_00800
,WIDEN,m1d_b20260827_c020,,0.3947537542743748,0.0017605141117247678,9.488578053095637,0.19045139723959204,-0.1464791590692449,CONFIRMED,WIDEN,,0.3198493490466783,WIDEN,0.16139290906614412,True,,6334.731911395481,0.0037077908299579343,3.5323527644664923,0.16139290906614412,-0.12005645954592203,1.25,S4,D2-DISCOVERY|D2-CONFIRMATION,c020_s2_00125
,WIDEN,m1d_b20260827_c020,,0.31245544289466537,0.00139085252797094,8.231603911588394,0.15940047419290093,-0.11661726844165954,CONFIRMED,WIDEN,,0.34392944881018905,WIDEN,0.17042755801035603,True,,7440.192184066207,0.001999653794488441,5.96524945697239,0.17042755801035603,-0.12910044567699452,1.6,S4,D2-DISCOVERY|D2-CONFIRMATION,c020_s2_00160
