config_id,theta_S1,theta_S2,theta_S3,theta_S4,h_S1,h_S2,h_S3,h_S4,curved_S2,curved_S3,curved_S4,P_S2,P_S3,P_S4,L_S2,L_S3,L_S4,rank_P_S2,rank_P_S3,rank_P_S4,rank_L_S2,rank_L_S3,rank_L_S4,k_P_star,k_V_star,kendall_tau,spearman_rho,omega_top,E1,E2,E3,E4,E5,E6,eligible
m1d_b20260827_c020,228.0076298802581,334.7095288291787,278.42082543497906,34.77822988937867,1.5688725948487074,1.700686816687085,1.8992323780458686,2.368838289248792,0,1,0,0.0390388695680674,0.015946030026133314,0.00892868442251205,0.6062651732404634,0.004129923791923101,2.34033639078243,1,2,3,2,3,1,S2,S4,-0.3333333333333333,-0.5,0.7931377017688523,1,1,1,1,1,1,1
m1d_b20260827_c021,173.97306005039252,336.8360764544142,245.97994952805965,45.00696375994365,1.8516927107056609,2.3282207472741776,1.7136071108188156,2.2072949530562544,0,0,0,0.0085860761201545,0.0431370075283686,0.013642488669347308,6.4416494219693385,0.34150794315037086,4.565204726609538,3,1,2,1,3,2,S3,S2,-1.0,-1.0,0.5676281184809965,1,1,1,1,1,1,1
m1d_b20260827_c022,156.0631463600689,329.50057874223774,103.69274355518516,232.2254605872595,1.550304408784148,2.4706219817476938,1.7719696374891551,1.952757534148504,0,0,1,0.00673028131240386,0.03813278401100274,0.01126886343081503,1.9422272922927202,0.03648919455632767,0.0585571485774504,3,1,2,1,3,2,S3,S2,-1.0,-1.0,0.9533463048453574,1,1,1,1,1,0,0
m1d_b20260827_c023,195.4739504895934,18.918044492276536,100.92990036833307,273.37767206973206,1.520255581672716,2.0086202156045623,2.1033532155066976,1.7788549462831327,0,1,0,0.02223710507356403,0.010400803383607157,0.03748855292430328,3.126650395387885,0.07592801292705742,0.1832343220039122,2,3,1,1,3,2,S4,S2,0.3333333333333333,0.5,0.9234563882963004,1,1,1,1,1,0,0
m1d_b20260827_c024,159.29573858856764,320.5577103467543,242.85329540186518,37.30442193127003,1.8395060026444263,1.500369799957576,1.8246915975901905,2.194531681641846,1,0,0,0.030728288058452968,0.033994763216393685,0.014124132449695681,8.060349688571195,0.6256580049127924,3.232869465755491,2,1,3,1,3,2,S3,S2,-0.3333333333333333,-0.5,0.6762675360172528,1,1,1,1,1,1,1
m1d_b20260827_c025,208.8094836690806,64.0610418388448,300.2802929498332,352.8604362383828,1.8580729880191815,1.6686372680917545,1.7672618384412684,2.5724729648039233,1,0,0,0.026399615824061858,0.03611226481049163,0.005052709894856005,8.789013182043142,0.5333982045835285,4.512111775337917,2,1,3,1,3,2,S3,S2,-0.3333333333333333,-0.5,0.6352957076400635,1,1,1,1,1,1,1
m1d_b20260827_c026,197.64491135047095,315.4580253746422,253.80358340358072,65.05787323972775,1.6749139699727769,2.079540280314833,1.7734364025811786,1.7683743233818212,1,0,0,0.004589405722221275,0.03805815952094206,0.03876924090181398,0.14625366300949177,0.056225325438644586,4.394135492032124,3,2,1,2,3,1,S4,S4,0.3333333333333333,0.5,0.9559504088698383,1,1,0,1,1,0,0
m1d_b20260827_c027,203.2590821776976,54.905776310461974,335.00872611992,103.60850231929159,1.8210589297167972,1.6047938422755506,1.5348932180019341,1.9912361007650925,0,0,1,0.03839246530260314,0.0626915963947323,0.011139538492883577,6.94984922437452,10.205671755122804,0.5814157929940879,2,1,3,2,1,3,S3,S3,1.0,1.0,0.5753908854741476,1,1,0,0,1,1,0
m1d_b20260827_c028,162.13337774742536,351.87986368239,68.84702807185678,275.8424324735173,1.5428547923519182,2.01226728623386,2.1381488485603297,2.400906228736786,1,0,0,0.011572797838790219,0.016283495854058774,0.008194538649045678,1.9482861304998493,0.2181803113325102,0.4041037288058803,2,1,3,1,3,2,S3,S2,-0.3333333333333333,-0.5,0.7579198392456701,1,1,1,1,1,1,1
m1d_b20260827_c029,122.93685163770664,165.49498564938924,6.02312222243786,65.30022643964621,1.6963625124045267,2.335004418028411,1.7741868200658257,2.0587689166513217,0,0,0,0.009753755055616868,0.03285975700492189,0.019616075564202296,0.003033822748796513,2.7038714428855357,0.02664510872393203,3,1,2,3,1,2,S3,S3,1.0,1.0,0.989142716464592,1,1,0,0,1,0,0
